"Ticker","Nome","Negócios","Última (R$)","Variação"
"SEQL3","Sequoia Logística","360.500","5,83","-0,17%"
"NGRD3","Neogrid","356.300","1,30","+0,78%"
"PNVL3","Dimed","333.700","10,15","+1,10%"
"HBRE3","HBR Realty","333.700","5,19","+2,37%"
"AGRO3","BrasilAgro","327.100","26,46","+3,64%"
"OIBR3","Oi","326.700","5,16","+1,98%"
"JSLG3","JSL","324.100","10,08","+3,49%"
"ORVR3","Orizon","322.900","46,80","+0,17%"
"AMBP3","Ambipar","322.600","65,94","+4,67%"
"TGMA3","Tegma","305.700","27,10","+2,34%"
"LUPA3","Lupatech","283.600","1,50","-0,66%"
"USIM3","Usiminas","277.400","6,04","+3,25%"
"AERI3","Aeris Energy","274.700","10,69","+1,33%"
"BLAU3","Blau Farmacêutica","264.600","14,51","+1,04%"
"TAEE4","Taesa","263.600","12,12","+1,42%"
"PTBL3","Portobello","260.000","5,01","-0,79%"
"JALL3","Jalles Machado","244.600","6,64","+0,91%"
"PINE4","Banco Pine","226.000","4,74","+0,00%"
"PRNR3","Priner","220.900","13,10","+1,24%"
"TPIS3","Triunfo","219.900","5,07","+9,03%"
"ESPA3","Espaçolaser","206.000","1,17","+2,63%"
"AGXY3","AgroGalaxy","202.800","1,20","+3,45%"
"SEER3","Ser Educacional","194.800","6,36","+1,11%"
"BMOB3","Bemobi","190.900","15,51","+1,17%"
"UNIP6","Unipar","190.800","49,10","+2,61%"
"TASA4","Taurus","181.600","11,11","-0,54%"
"TFCO4","Track & Field","178.700","11,88","+1,54%"
"ROMI3","Indústrias ROMI","164.900","11,07","+0,64%"
"SANB4","Banco Santander","155.600","16,70","+2,08%"
"ETER3","Eternit","151.800","5,80","+0,35%"
"VTRU3","VITRUBREPCOM","149.300","10,11","+4,01%"
"SHUL4","Schulz","146.300","6,64","+0,76%"
"KLBN3","Klabin","145.200","4,40","+1,85%"
"LOGG3","LOG CP","141.200","22,98","+1,01%"
"AMAR3","Lojas Marisa","138.400","1,14","+0,88%"
"BOBR4","Bombril","136.700","2,28","+6,54%"
"KRSA3","Kora Saúde","128.900","0,61","+5,17%"
"BRAP3","Bradespar","123.000","17,84","+1,88%"
"TAEE3","Taesa","121.800","12,00","+1,18%"
"SANB3","Banco Santander","118.400","15,07","+0,94%"
"SAPR3","Sanepar","115.600","5,56","-0,71%"
"DESK3","Desktop","111.800","15,31","+1,39%"
"ITSA3","Itaúsa","102.000","11,27","+1,81%"
"PMAM3","Paranapanema","85.500","1,80","+0,00%"
"CTSA4","Santanense","78.700","1,31","+3,97%"
"PDTC3","Padtec","72.000","2,05","+0,00%"
"DEXP3","Dexxos","65.300","9,59","+1,48%"
"EALT4","Electro Aço Altona","64.600","14,85","+1,16%"
"DMVF3","D1000 Varejo Farma","56.800","7,09","-0,42%"
"RNEW4","Renova Energia","54.700","1,02","+3,03%"
"GGBR3","Gerdau","52.600","16,37","+2,89%"
"BRKM3","Braskem","49.700","18,87","+1,29%"
"ALLD3","Allied","49.100","7,50","+0,94%"
"DEXP4","Dexxos","46.300","9,20","-1,60%"
"ELMD3","Eletromidia","44.100","18,50","+2,21%"
"TECN3","Technos","42.300","5,39","+3,26%"
"AALR3","Alliança","40.800","16,12","+0,75%"
"RAPT3","Randon","40.700","8,96","+1,13%"
"TCSA3","Tecnisa","40.200","1,92","+0,00%"
"GOAU3","Metalúrgica Gerdau","38.800","10,75","+1,70%"
"LAND3","Terra Santa","37.000","12,12","-1,38%"
